course_code,course_title,points_r1_2021,points_r2_2021,eos_mid_2021,test/interview_2021,points_r1_2020,points_r2_2020,eos_mid_2020,test/interview_2020,eos_mid_2019,eos_2019
TU996,Social Care,407,,440,,400,,419,,,
TU997,Applied Social Care,320,,368,,310,283,318,,,
TR002,Music,508,477,513,#,435,429,468,,473 ,#414 
TR003,History,552,543,558,,497,493,511,,518 ,486 
TR004,Law,590,589,601,,566,565,578,,552 ,532 
TR005,Philosophy,510,497,510,,442,,476,,446 ,391 
TR006,Psychology,601,590,602,,567,555,578,,577 ,555* 
TR007,Clinical Speech and Language Studies,564,,577,,529,,553,,529 ,499 
TR009,Music Education,496,486,530,#,420,,532,#,465 ,#430 
TR015,"Philosophy, Political Science, Economics and Sociology",613,613,625,,589,,601,,577 ,566 
TR016,Deaf Studies,389,,440,,340,,377,,372 ,337 
TR018,Law and French,602,602,613,,565,,589,,554 ,532* 
TR019,Law and German,577,567,588,,543,542,566,,555 ,523 
TR021,"Classics, Ancient History and Archaeology",467,462,501,,370,,434,,495 ,377 
TR022,Early and Modern Irish,377,,473,,398,,451,,407 ,347 
TR023,English Studies,546,541,555,,487,476,511,,511 ,463 
TR024,European Studies,566,,589,,544,542,566,,544 ,520 
TR025,Drama and Theatre Studies,543,519,552,#,564,530,581,#,531 ,#489 
TR028,Ancient and Medieval History and Culture,498,463,474,,342,,453,,451 ,339 
TR031,Mathematics,579,578,613,,531,,589,,589 ,566 
TR032,Engineering,556,555,581,,510,509,533,,520 ,487* 
TR033,Computer Science,566,549,578,,509,,545,,488 ,465* 
TR034,Management Science and Information Systems Studies,625,625,625,,613,,625,,602 ,589* 
TR035,Theoretical Physics,590,589,613,,543,,601,,601 ,554 
TR038,Engineering with Management,589,589,613,,532,,556,,543 ,499 
TR039,"Computer Science, Linguistics and a Language",443,,531,,454,424,488,,498 ,435 
TR040,Middle Eastern and European Languages and Cultures,520,499,531,,466,,521,,518 ,485 
TR041,Religion,417,,476,,368,,418,,393 ,347 
TR042,Film,531,522,532,,489,476,498,,,
TR043,History of Art and Architecture,498,486,519,,393,354,474,,,
TR051,Medicine (HPAT required),743,743,751,#,735,734,745,#,739 ,#730 
TR052,Dental Science,625,625,625,,613,613,625,,602 ,590* 
TR053,Physiotherapy,590,,601,,566,566,567,,544 ,533* 
TR054,Occupational Therapy,578,577,589,,533,,554,,520 ,500 
TR055,Radiation Therapy,577,566,577,,543,,554,,521 ,510 
TR056,Human Health and Disease,601,,613,,565,,578,,565 ,543 
TR060,Biological and Biomedical Sciences,578,577,590,,543,543,566,,542 ,510* 
TR061,Chemical Sciences,558,554,564,,517,510,532,,520 ,488* 
TR062,Geography and Geoscience,495,,531,,473,,499,,485 ,435 
TR063,Physical Sciences,554,543,566,,498,498,531,,543 ,498* 
TR064,Environmental Science and Engineering,555,,578,,,,,,,
TR072,Pharmacy,613,613,625,,590,,613,,577 ,555* 
TR080,Global Business,613,,625,,589,,601,,577 ,565 
TR081,"Business, Economic and Social Studies (BESS)",577,567,589,,543,543,565,,542 ,518* 
TR084,Social Studies (Social Work),497,487,508,,462,,495,,462 ,420* 
TR085,Business Studies and French,564,,577,,540,531,543,,553 ,509 
TR086,Business Studies and German,530,,533,,509,499,518,,495 ,474 
TR087,Business Studies and Russian,487,,521,,474,465,488,,487 ,467 
TR089,Business Studies and Polish,391,,432,,444,424,468,,434 ,393 
TR090,Business Studies and Spanish,566,,589,,531,,542,,543 ,510 
TR091,General Nursing (Meath and St James`s),462,456,487,,429,,455,,420 ,393* 
TR093,General Nursing (Adelaide School of Nursing),473,,484,#,430,429,441,#,409 ,#378* 
TR095,Mental Health Nursing,442,,455,,408,,430,,377 ,358 
